More,Categories,Time,Food,Home,Daily,Weather,Kitchen,Cooking,Supermarket,Health,Places,Transportation,Person,School,Nature,Interest,Work,Restaurant,Mastery,Adverbs,Verbs,Adjectives,Similars
,"これを30分漬けておきます# spicy",,,,,,,,,,,,,,,,,,,,,,
,"じゃあ、また30分後に会いましょう# okay, I'll see you in half an hour",,,,,,,,,,,,,,,,,,,,,,
,"30分経ったので# it's been half an hour",,,,,,,,,,,,,,,,,,,,,,
,"さっきのお肉に卵を入れる# put the egg in the meat",,,,,,,,,,,,,,,,,,,,,,
,"めっちゃいい匂いする# it smells so good",,,,,,,,,,,,,,,,,,,,,,
,"卵を入れたらまた揉みます# After putting the egg, knead/rub it again",,,,,,,,,,,,,,,,,,,,,,
,"練る# to knead, to thicken into a paste",,,,,,,,,,,,,,,,,,,,,,
,"それではいよいよ、粉をかけて# Now it's time to sprinkle the powder",,,,,,,,,,,,,,,,,,,,,,
,"いよいよ# more and more, at last, finally",,,,,,,,,,,,,,,,,,,,,,
,"揚げていきたいと思います# I'd like to fry it",,,,,,,,,,,,,,,,,,,,,,
,"片栗粉と小麦粉を同じぐらいずつで混ぜる# mix the potato starch and flour in equal parts",,,,,,,,,,,,,,,,,,,,,,
,"肉を入れて粉をまぶします# Add the meat and dust with flour",,,,,,,,,,,,,,,,,,,,,,
,"塗す# to cover (smear, sprinkle) (with) ",,,,,,,,,,,,,,,,,,,,,,
,"衣をつけるところまで完成しました# until to the point of putting the coating, it’s done",,,,,,,,,,,,,,,,,,,,,,
,"フライパンに油入れます# add oil to the frying pan",,,,,,,,,,,,,,,,,,,,,,
,"箸がチョルチョルチョル〜ってなるぐらい# around the chopsticks sizzles",,,,,,,,,,,,,,,,,,,,,,
,"揚げていきますよ、いよいよ# I'm going to fry it up, here we go",,,,,,,,,,,,,,,,,,,,,,
,"揚げたら一回出す# I'll serve it once it's fried",,,,,,,,,,,,,,,,,,,,,,
,"「唐揚げは2度揚げするのよ」って言ってたから# He said, ”You have to fry them twice”",,,,,,,,,,,,,,,,,,,,,,
,"言われたことは忠実に守る# I'll do exactly as I'm told",,,,,,,,,,,,,,,,,,,,,,
,"この間に余熱で火が通って# during this time, the residual heat will cook it",,,,,,,,,,,,,,,,,,,,,,
,"自動ドア# automatic door",,,,,,,,,,,,,,,,,,,,,,
,"買い物# shopping",,,,,,,,,,,,,,,,,,,,,,
,"ショッピングカート# shopping cart",,,,,,,,,,,,,,,,,,,,,,
,"棚# shelves",,,,,,,,,,,,,,,,,,,,,,
,"値引き商品# clearance items",,,,,,,,,,,,,,,,,,,,,,
,"賞味期限# best before date",,,,,,,,,,,,,,,,,,,,,,
,"消費期限# expiration date",,,,,,,,,,,,,,,,,,,,,,
,"ポイントカード# point card",,,,,,,,,,,,,,,,,,,,,,
,"クーポン# coupons",,,,,,,,,,,,,,,,,,,,,,
,"割引券# coupons",,,,,,,,,,,,,,,,,,,,,,
,"レジ# cashier",,,,,,,,,,,,,,,,,,,,,,
,"セルフレジ# self check-out",,,,,,,,,,,,,,,,,,,,,,
,"レジ袋# plastic bag",,,,,,,,,,,,,,,,,,,,,,
,"エコバッグ# reusable bag",,,,,,,,,,,,,,,,,,,,,,
,"マイバッグ# reusable bag",,,,,,,,,,,,,,,,,,,,,,
,"サッカー台# sacker table, packing table",,,,,,,,,,,,,,,,,,,,,,
,"サービスカウンター# customer service desk",,,,,,,,,,,,,,,,,,,,,,
,"いらっしゃいませ# welcome",,,,,,,,,,,,,,,,,,,,,,
,"お待たせいたしました# thank you for waiting",,,,,,,,,,,,,,,,,,,,,,
,"ポイントカードはお持ちですか# do you have a point card",,,,,,,,,,,,,,,,,,,,,,
,"はい、持っています# yes, I have",,,,,,,,,,,,,,,,,,,,,,
,"ポイとカードをお作りしましょうか# would you like to make a point card",,,,,,,,,,,,,,,,,,,,,,
,"はい、お願いします# yes, please",,,,,,,,,,,,,,,,,,,,,,
,"いいえ、けっこです# no, thank you",,,,,,,,,,,,,,,,,,,,,,
,"ポイントを利用になりますか# would you like to use you points?",,,,,,,,,,,,,,,,,,,,,,
,"レジ袋はご利用ですか# do you need a plastic bag",,,,,,,,,,,,,,,,,,,,,,
,"レジ袋は有料ですが、よろしでしょうか# there is a charge for plastic bag, Is that ok?",,,,,,,,,,,,,,,,,,,,,,
,"別々の袋にお入れしましょうか# would you like me to put in separate bags",,,,,,,,,,,,,,,,,,,,,,
,"袋はお分けしましょうか# In separate bags?",,,,,,,,,,,,,,,,,,,,,,
,"お箸はおつけいたしますか# would you like some chopsticks?",,,,,,,,,,,,,,,,,,,,,,
,"お箸は何膳おつけしますか# how many chopsticks do you need?",,,,,,,,,,,,,,,,,,,,,,
,"いち膳、お願いします# one (chopstick) please",,,,,,,,,,,,,,,,,,,,,,
,"いっぽん、お願いします# one (chopstick) please",,,,,,,,,,,,,,,,,,,,,,
,"お支払い方法はどのようにされますか# how would you like to pay?",,,,,,,,,,,,,,,,,,,,,,
,"クレジットカードで払います# i’ll pay by credit ",,,,,,,,,,,,,,,,,,,,,,
,"現金で払います# i’ll pay by cash",,,,,,,,,,,,,,,,,,,,,,
,"お会計 1,200円でございます# that will be 1,200 yen",,,,,,,,,,,,,,,,,,,,,,
,"1,200円になります# that will be 1,200 yen",,,,,,,,,,,,,,,,,,,,,,
,"2,000円お預かりします# you have deposit 2,000 yen",,,,,,,,,,,,,,,,,,,,,,
,"800円のお返しです# here’s 800 yen change",,,,,,,,,,,,,,,,,,,,,,
,"お釣りは800円です# the change is 800 yen",,,,,,,,,,,,,,,,,,,,,,
,"暗証番号を入力してください# please enter your pin",,,,,,,,,,,,,,,,,,,,,,
,"こちらにサイんをお願いします# Please sign here",,,,,,,,,,,,,,,,,,,,,,
,"ありがとうございました# thank you",,,,,,,,,,,,,,,,,,,,,,
,"またおこしくださいませ# please come back again",,,,,,,,,,,,,,,,,,,,,,
,"スパー# supermarket",,,,,,,,,,,,,,,,,,,,,,
,"セール# sale",,,,,,,,,,,,,,,,,,,,,,
,"ほとんど# most of",,,,,,,,,,,,,,,,,,,,,,
,"品物# goods, article",,,,,,,,,,,,,,,,,,,,,,
,"割ひき# discount",,,,,,,,,,,,,,,,,,,,,,
,"半額# half price",,,,,,,,,,,,,,,,,,,,,,
,"食品# foodstuff",,,,,,,,,,,,,,,,,,,,,,
,"料理たくさん残った# A lot of food left",,,,,,,,,,,,,,,,,,,,,,
,"5000円あれば足りる# 5,000 yen is enough",,,,,,,,,,,,,,,,,,,,,,
,"様子# situation, state, appearance, sign, indication",,,,,,,,,,,,,,,,,,,,,,
,"事態# situation, (present) state of affairs, circumstances ",,,,,,,,,,,,,,,,,,,,,,
,"状態# situation, condition, state, appearance",,,,,,,,,,,,,,,,,,,,,,
,"状況# state of affairs (around)",,,,,,,,,,,,,,,,,,,,,,
,"調子# tune, tone, way, manner, state of health",,,,,,,,,,,,,,,,,,,,,,
,"具合# condition, state, health (state)",,,,,,,,,,,,,,,,,,,,,,
,"用語# terminology, wording",,,,,,,,,,,,,,,,,,,,,,
,"全国# nationwide, countrywide",,,,,,,,,,,,,,,,,,,,,,
,"新た# new, fresh, novel",,,,,,,,,,,,,,,,,,,,,,
,"発生# outbreak, occurrence",,,,,,,,,,,,,,,,,,,,,,
,"運動する# exercise",,,,,,,,,,,,,,,,,,,,,,
,"体操する# physical exercises",,,,,,,,,,,,,,,,,,,,,,
,"首# neck",,,,,,,,,,,,,,,,,,,,,,
,"背中# back of the body",,,,,,,,,,,,,,,,,,,,,,
,"腰# lower back",,,,,,,,,,,,,,,,,,,,,,
,"尻# buttocks",,,,,,,,,,,,,,,,,,,,,,
,"胸# chest",,,,,,,,,,,,,,,,,,,,,,
,"腕# arm",,,,,,,,,,,,,,,,,,,,,,
,"ひじ# elbow",,,,,,,,,,,,,,,,,,,,,,
,"ひざ# knee",,,,,,,,,,,,,,,,,,,,,,
,"つま先# toes",,,,,,,,,,,,,,,,,,,,,,
,"かかと# heel",,,,,,,,,,,,,,,,,,,,,,
,"曲げる# bend",,,,,,,,,,,,,,,,,,,,,,
,"回す# to turn, rotate",,,,,,,,,,,,,,,,,,,,,,
,"伸ばす# to stretch",,,,,,,,,,,,,,,,,,,,,,
,"上げる# to raise",,,,,,,,,,,,,,,,,,,,,,
,"下げる# to lower",,,,,,,,,,,,,,,,,,,,,,
,"よく眠る# sleep well",,,,,,,,,,,,,,,,,,,,,,
,"ゆっくり休む# rest well",,,,,,,,,,,,,,,,,,,,,,
,"昼寝する# to take a nap, siesta",,,,,,,,,,,,,,,,,,,,,,
,"食事する# to have a meal",,,,,,,,,,,,,,,,,,,,,,
,"おやつ# snack",,,,,,,,,,,,,,,,,,,,,,
,"バランス# balance",,,,,,,,,,,,,,,,,,,,,,
,"栄養# nutrition",,,,,,,,,,,,,,,,,,,,,,
,"転ぶ# fall down, fall over",,,,,,,,,,,,,,,,,,,,,,
,"めまいがする# feel dizzy",,,,,,,,,,,,,,,,,,,,,,
,"頭痛がする# have a headache",,,,,,,,,,,,,,,,,,,,,,
,"胃がいたい# have a stomachache",,,,,,,,,,,,,,,,,,,,,,
,"腰が痛い# have a back pain",,,,,,,,,,,,,,,,,,,,,,
,"息が苦しい# feel suffocated",,,,,,,,,,,,,,,,,,,,,,
,"苦しむ# be in pain",,,,,,,,,,,,,,,,,,,,,,
,"鼻がつまる# be stuffed up",,,,,,,,,,,,,,,,,,,,,,
,"鼻をかむ# blow one’s nose",,,,,,,,,,,,,,,,,,,,,,
,"吐き気がする# feel sick",,,,,,,,,,,,,,,,,,,,,,
,"吐く# vomit",,,,,,,,,,,,,,,,,,,,,,
,"気持ち胃が悪い# feel sick",,,,,,,,,,,,,,,,,,,,,,
,"目がかゆい# have an itchy eye",,,,,,,,,,,,,,,,,,,,,,
,"目をこする# rub one’s eye",,,,,,,,,,,,,,,,,,,,,,
,"目をかく# rub one’s eye",,,,,,,,,,,,,,,,,,,,,,
,"風邪を引いてつらい# feel terrible of colds",,,,,,,,,,,,,,,,,,,,,,
,"アレルギーがある# have an allergy",,,,,,,,,,,,,,,,,,,,,,
,"頭ががんがんする# have a pounding headache",,,,,,,,,,,,,,,,,,,,,,
,"きりきりする# have a sharp pain",,,,,,,,,,,,,,,,,,,,,,
,"下痢する# have a diarrhea",,,,,,,,,,,,,,,,,,,,,,
,"すぎすぎする# have a throbbing pain",,,,,,,,,,,,,,,,,,,,,,
,"吐き気がする# feel nausea",,,,,,,,,,,,,,,,,,,,,,
,"鼻水が出る# have a runny nose",,,,,,,,,,,,,,,,,,,,,,
,"腫れる# swell",,,,,,,,,,,,,,,,,,,,,,
,"ひりひりする# stinging pain",,,,,,,,,,,,,,,,,,,,,,
,"震える# to tremble",,,,,,,,,,,,,,,,,,,,,,
,"骨を折る# break a bone",,,,,,,,,,,,,,,,,,,,,,
,"めまいがする# fell dizzy",,,,,,,,,,,,,,,,,,,,,,
,"新型# new strain",,,,,,,,,,,,,,,,,,,,,,
,"重症# serious illness",,,,,,,,,,,,,,,,,,,,,,
,"医療# medical care",,,,,,,,,,,,,,,,,,,,,,
,"けがする# be injured",,,,,,,,,,,,,,,,,,,,,,
,"血が出る# blood comes out",,,,,,,,,,,,,,,,,,,,,,
,"骨を折る# broken bone",,,,,,,,,,,,,,,,,,,,,,
,"やけどする# get burned",,,,,,,,,,,,,,,,,,,,,,
,"マスクをする# wear a mask",,,,,,,,,,,,,,,,,,,,,,
,"目薬# eyedrops",,,,,,,,,,,,,,,,,,,,,,
,"氷で冷やす# cool by ice",,,,,,,,,,,,,,,,,,,,,,
,"元気がある# healthy, lively",,,,,,,,,,,,,,,,,,,,,,
,"元気がない# unhealthy, unlively",,,,,,,,,,,,,,,,,,,,,,
,"せきが出る# coughing",,,,,,,,,,,,,,,,,,,,,,
,"くしゃみが出る# sneeze",,,,,,,,,,,,,,,,,,,,,,
,"熱がある# fever",,,,,,,,,,,,,,,,,,,,,,
,"寒気がする# chill, shiver",,,,,,,,,,,,,,,,,,,,,,
,"眠い# sleepy",,,,,,,,,,,,,,,,,,,,,,
,"気分がいい# feel good ",,,,,,,,,,,,,,,,,,,,,,
,"気分が悪い# feel bad",,,,,,,,,,,,,,,,,,,,,,
,"調子がいい# in good form",,,,,,,,,,,,,,,,,,,,,,
,"調子が悪い# in bad shape",,,,,,,,,,,,,,,,,,,,,,
,"具合がいい# feel good",,,,,,,,,,,,,,,,,,,,,,
,"具合が悪い# feel bad",,,,,,,,,,,,,,,,,,,,,,
,"顔色がいい# good complexion",,,,,,,,,,,,,,,,,,,,,,
,"顔色が悪い# bad complexion",,,,,,,,,,,,,,,,,,,,,,
,"病気が治る# be cured of a disease",,,,,,,,,,,,,,,,,,,,,,
,"病気を治す# cure a disease",,,,,,,,,,,,,,,,,,,,,,
,"風邪が治る# get over a cold",,,,,,,,,,,,,,,,,,,,,,
,"風邪を治す# cure a cold",,,,,,,,,,,,,,,,,,,,,,
,"けがが治る# recover from an injury",,,,,,,,,,,,,,,,,,,,,,
,"けがを治す# cure an injury",,,,,,,,,,,,,,,,,,,,,,
,"いい# ok, good",,,,,,,,,,,,,,,,,,,,,,
,"悪い# bad",,,,,,,,,,,,,,,,,,,,,,
,"治る# be cured, be healed",,,,,,,,,,,,,,,,,,,,,,
,"治す# to cure, to heal",,,,,,,,,,,,,,,,,,,,,,
,"専門の医師に見てもらう# see a specialist",,,,,,,,,,,,,,,,,,,,,,
,"医師の診察を受ける# see the doctor",,,,,,,,,,,,,,,,,,,,,,
,"歯医者にかかる# go to see a dentist",,,,,,,,,,,,,,,,,,,,,,
,"インフルエンザにかかる# catch a flu",,,,,,,,,,,,,,,,,,,,,,
,"病気に症状# symptoms of a sickness",,,,,,,,,,,,,,,,,,,,,,
,"注射をしてもらう# get a shot, get an injection",,,,,,,,,,,,,,,,,,,,,,
,"手術を受ける# have an operation",,,,,,,,,,,,,,,,,,,,,,
,"痛みをがまんする# endure pain",,,,,,,,,,,,,,,,,,,,,,
,"花粉症になる# suffer from hay fever",,,,,,,,,,,,,,,,,,,,,,
,"うがいする# gurgle",,,,,,,,,,,,,,,,,,,,,,
,"手を傷# cut/wound on hand",,,,,,,,,,,,,,,,,,,,,,
,"やけどをする# get burned",,,,,,,,,,,,,,,,,,,,,,
,"大したことがない# not a big deal",,,,,,,,,,,,,,,,,,,,,,
,"ましになる# still bad but better",,,,,,,,,,,,,,,,,,,,,,
,"お見舞に行く# visit a sick",,,,,,,,,,,,,,,,,,,,,,
,"薬を飲む# take medicine",,,,,,,,,,,,,,,,,,,,,,
,"薬をつける# apply medicine",,,,,,,,,,,,,,,,,,,,,,
,"医者に行く# go to a doctor",,,,,,,,,,,,,,,,,,,,,,
,"入院する# be hospitalized",,,,,,,,,,,,,,,,,,,,,,
,"横になる# to lie down",,,,,,,,,,,,,,,,,,,,,,
,"口を開ける# open one’s mouth",,,,,,,,,,,,,,,,,,,,,,
,"熱を計る# measure the temperature",,,,,,,,,,,,,,,,,,,,,,
,"息を吸う# to inhale",,,,,,,,,,,,,,,,,,,,,,
,"息を吐く# to exhale",,,,,,,,,,,,,,,,,,,,,,
,"息を止める# hold one’s breath",,,,,,,,,,,,,,,,,,,,,,
,"過去最多# most on record",,,,,,,,,,,,,,,,,,,,,,
,"感染# infection, contagion",,,,,,,,,,,,,,,,,,,,,,
,"予防# prevention, precaution",,,,,,,,,,,,,,,,,,,,,,
,"現場# scene",,,,,,,,,,,,,,,,,,,,,,
,"名前# name",,,,,,,,,,,,,,,,,,,,,,
,"生年月日# date of birth",,,,,,,,,,,,,,,,,,,,,,
,"年齢# age, years",,,,,,,,,,,,,,,,,,,,,,
,"〜歳# years old",,,,,,,,,,,,,,,,,,,,,,
,"住所# address",,,,,,,,,,,,,,,,,,,,,,
,"電話番号# phone number",,,,,,,,,,,,,,,,,,,,,,
,"診察券# patients registration ticket",,,,,,,,,,,,,,,,,,,,,,
,"お検証# verification",,,,,,,,,,,,,,,,,,,,,,
,"診てもらう# checkup, see a doctor",,,,,,,,,,,,,,,,,,,,,,
,"医者# doctor",,,,,,,,,,,,,,,,,,,,,,
,"お医者さん# doctor",,,,,,,,,,,,,,,,,,,,,,
,"患者# patient",,,,,,,,,,,,,,,,,,,,,,
,"患者さん# patient",,,,,,,,,,,,,,,,,,,,,,
,"看護師# nurse",,,,,,,,,,,,,,,,,,,,,,
,"入院する# hospitalization",,,,,,,,,,,,,,,,,,,,,,
,"退院する# discharge",,,,,,,,,,,,,,,,,,,,,,
,"薬を飲む# drinking the medicine",,,,,,,,,,,,,,,,,,,,,,
,"〜日分# days",,,,,,,,,,,,,,,,,,,,,,
,"食前# before meals",,,,,,,,,,,,,,,,,,,,,,
,"食べる前に# before eating",,,,,,,,,,,,,,,,,,,,,,
,"食後# after a meal",,,,,,,,,,,,,,,,,,,,,,
,"食べた後に# after eating",,,,,,,,,,,,,,,,,,,,,,
,"内科# internal medicine",,,,,,,,,,,,,,,,,,,,,,
,"外科# surgery (department)",,,,,,,,,,,,,,,,,,,,,,
,"内服薬# medicine taken internally",,,,,,,,,,,,,,,,,,,,,,
,"痛い# painful, sore, hurts",,,,,,,,,,,,,,,,,,,,,,
,"動かす# to move, mobilize (something)",,,,,,,,,,,,,,,,,,,,,,
,"動く# (something) moves",,,,,,,,,,,,,,,,,,,,,,
,"切る# to cut",,,,,,,,,,,,,,,,,,,,,,
,"凝る# to have stiffness",,,,,,,,,,,,,,,,,,,,,,
,"吸う# to inhale, to smoke",,,,,,,,,,,,,,,,,,,,,,
,"出す# to take, prescribe, submit",,,,,,,,,,,,,,,,,,,,,,
,"詰まる# to clog",,,,,,,,,,,,,,,,,,,,,,
,"計る# to measure",,,,,,,,,,,,,,,,,,,,,,
,"休む# to rest, to be absent",,,,,,,,,,,,,,,,,,,,,,
,"付ける# to attach, apply",,,,,,,,,,,,,,,,,,,,,,
,"出る# to come out",,,,,,,,,,,,,,,,,,,,,,
,"疲れる# get tired",,,,,,,,,,,,,,,,,,,,,,
,"止める# to stop (something)",,,,,,,,,,,,,,,,,,,,,,
,"忘れる# to forget",,,,,,,,,,,,,,,,,,,,,,
,"上げる# to raise",,,,,,,,,,,,,,,,,,,,,,
,"下げる# to lower",,,,,,,,,,,,,,,,,,,,,,
,"ここはどうですか# how does it feel here",,,,,,,,,,,,,,,,,,,,,,
,"おきく口を開けて下さい# open your mouth wide",,,,,,,,,,,,,,,,,,,,,,
,"上だけ脱いで下さい# take off your top",,,,,,,,,,,,,,,,,,,,,,
,"後ろをむいて下さい# turn around",,,,,,,,,,,,,,,,,,,,,,
,"仰向けになって下さい# lie on your back",,,,,,,,,,,,,,,,,,,,,,
,"うつ伏せになって下さい# lie face down",,,,,,,,,,,,,,,,,,,,,,
,"大きく息を吸って下さい# take a deep breath",,,,,,,,,,,,,,,,,,,,,,
,"夜遅くまで起きている# stay up late at night",,,,,,,,,,,,,,,,,,,,,,
,"無理をする# to overstrain",,,,,,,,,,,,,,,,,,,,,,
,"色々なことを忘れる# forget various things",,,,,,,,,,,,,,,,,,,,,,
,"健康に気をつける# take care of yourself",,,,,,,,,,,,,,,,,,,,,,
,"対策# countermeasure",,,,,,,,,,,,,,,,,,,,,,
,"緊急# urgency, emergency",,,,,,,,,,,,,,,,,,,,,,
,"急増# rapid increase",,,,,,,,,,,,,,,,,,,,,,
,"次々# in succession, one by one",,,,,,,,,,,,,,,,,,,,,,
,"超# super-, hyper-, extreme​",,,,,,,,,,,,,,,,,,,,,,
,"最多# most (numerous)",,,,,,,,,,,,,,,,,,,,,,
,"激辛# extremely hot (spicy)​",,,,,,,,,,,,,,,,,,,,,,
,"体育祭# athletic festival, sports day",,,,,,,,,,,,,,,,,,,,,,
,"町# town, neighbourhood",,,,,,,,,,,,,,,,,,,,,,
,"街# town, city",,,,,,,,,,,,,,,,,,,,,,
,"市# market, city",,,,,,,,,,,,,,,,,,,,,,
,"都会# city, metropolis",,,,,,,,,,,,,,,,,,,,,,
,"都市# city, municipal, urban",,,,,,,,,,,,,,,,,,,,,,
,"区# ward, district",,,,,,,,,,,,,,,,,,,,,,
,"首都# capital city, metropolis ",,,,,,,,,,,,,,,,,,,,,,
,"市内# (within a) city, local ",,,,,,,,,,,,,,,,,,,,,,
,"市立# municipal, city ",,,,,,,,,,,,,,,,,,,,,,
,"市街# urban areas, the streets",,,,,,,,,,,,,,,,,,,,,,
,"郊外# suburb, residential area on the outskirt of a city",,,,,,,,,,,,,,,,,,,,,,
,"都# the capital (esp. Kyoto, Japan's former capital)",,,,,,,,,,,,,,,,,,,,,,
,"市場# (town) market, (street) market, marketplace ",,,,,,,,,,,,,,,,,,,,,,
,"県# prefecture",,,,,,,,,,,,,,,,,,,,,,
,"銀行# bank",,,,,,,,,,,,,,,,,,,,,,
,"郵便局# post office",,,,,,,,,,,,,,,,,,,,,,
,"レストラン# restaurant",,,,,,,,,,,,,,,,,,,,,,
,"食堂# cafeteria",,,,,,,,,,,,,,,,,,,,,,
,"喫茶店# coffee shop",,,,,,,,,,,,,,,,,,,,,,
,"カフェ# cafe",,,,,,,,,,,,,,,,,,,,,,
,"ファーストフード店# fast food outlet",,,,,,,,,,,,,,,,,,,,,,
,"スーパー# supermarket",,,,,,,,,,,,,,,,,,,,,,
,"コンビニ# convenience store",,,,,,,,,,,,,,,,,,,,,,
,"~屋# shop",,,,,,,,,,,,,,,,,,,,,,
,"パン屋# bakery",,,,,,,,,,,,,,,,,,,,,,
,"本屋# bookstore",,,,,,,,,,,,,,,,,,,,,,
,"薬屋# drug store, pharmacy",,,,,,,,,,,,,,,,,,,,,,
,"花屋# flourist",,,,,,,,,,,,,,,,,,,,,,
,"電気店# electric goos store",,,,,,,,,,,,,,,,,,,,,,
,"不動産屋# real estate agent",,,,,,,,,,,,,,,,,,,,,,
,"店# shop, store",,,,,,,,,,,,,,,,,,,,,,
,"商店街# shopping district, shopping street, downtown",,,,,,,,,,,,,,,,,,,,,,
,"病院# hosspital",,,,,,,,,,,,,,,,,,,,,,
,"歯医者# dentist",,,,,,,,,,,,,,,,,,,,,,
,"書店# bookstore",,,,,,,,,,,,,,,,,,,,,,
,"本屋# bookstore",,,,,,,,,,,,,,,,,,,,,,
,"雑貨屋# general store, sundries shop",,,,,,,,,,,,,,,,,,,,,,
,"スポーツ用品屋# sporting good store, sports shop",,,,,,,,,,,,,,,,,,,,,,
,"美容院# beauty salon",,,,,,,,,,,,,,,,,,,,,,
,"薬屋# drugstore",,,,,,,,,,,,,,,,,,,,,,
,"薬局# pharmacy",,,,,,,,,,,,,,,,,,,,,,
,"ドラッグストア# drugstore",,,,,,,,,,,,,,,,,,,,,,
,"レストラン# restaurant",,,,,,,,,,,,,,,,,,,,,,
,"100円ショップ# 100 yen shop",,,,,,,,,,,,,,,,,,,,,,
,"病院# hospital",,,,,,,,,,,,,,,,,,,,,,
,"クリニック# clinic",,,,,,,,,,,,,,,,,,,,,,
,"商店# store",,,,,,,,,,,,,,,,,,,,,,
,"映画館# movie theatre",,,,,,,,,,,,,,,,,,,,,,
,"スタジアム# stadium",,,,,,,,,,,,,,,,,,,,,,
,"商店街# shopping district",,,,,,,,,,,,,,,,,,,,,,
,"駅前# front of the station",,,,,,,,,,,,,,,,,,,,,,
,"広場# plaza",,,,,,,,,,,,,,,,,,,,,,
,"大通り# main street",,,,,,,,,,,,,,,,,,,,,,
,"空き地# vacant lot",,,,,,,,,,,,,,,,,,,,,,
,"看板# sign",,,,,,,,,,,,,,,,,,,,,,
,"広告# ad",,,,,,,,,,,,,,,,,,,,,,
,"ベンチ# bench",,,,,,,,,,,,,,,,,,,,,,
,"活気がある# to be lively",,,,,,,,,,,,,,,,,,,,,,
,"賑わう# to be crowded with people, to be bustling with",,,,,,,,,,,,,,,,,,,,,,
,"人通りが多い# to be crowded",,,,,,,,,,,,,,,,,,,,,,
,"人ごみ# crowd of people ",,,,,,,,,,,,,,,,,,,,,,
,"空き家# vacant house, unoccupied house ",,,,,,,,,,,,,,,,,,,,,,
,"工業団地# industrial complex",,,,,,,,,,,,,,,,,,,,,,
,"都会# city, metropolis",,,,,,,,,,,,,,,,,,,,,,
