Orig,Reading,Verbs,Meaning
はじく【弾く】,はじく,弾く,"to flip, to snap"
かせぐ【稼ぐ】,かせぐ,稼ぐ,"to earn income, to labor "
ふせぐ【防ぐ】,ふせぐ,防ぐ,"to defend (against), to protect, to prevent"
いそぐ【急ぐ】,いそぐ,急ぐ,to hurry
そそぐ【注ぐ】,そそぐ,注ぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) "
のぞく【除く】,のぞく,除く,"to remove, to exclude, to except "
のぞく【覗く】,のぞく,覗く,"to peep in, to look in, to peek in, to stick out"
たたく【叩く】,たたく,叩く,"to strike, to clap, to dust, to beat "
くだく【砕く】,くだく,砕く,"to break, to smash"
またぐ【跨ぐ】,またぐ,跨ぐ,to straddle
つつく【突く】,つつく,突く,"1. to thrust, to strike, to attack2. to poke, to nudge, to pick at "
なつく【懐く】,なつく,懐く,to become emotionally attached 
つづく【続く】,つづく,続く,to be continued
かつぐ【担ぐ】,かつぐ,担ぐ,"to shoulder, to carry on shoulder "
とどく【届く】,とどく,届く,to reach
ほどく【解く】,ほどく,解く,to unfasten
つなぐ【繋ぐ】,つなぐ,繋ぐ,"to tie, to fasten, to connect, to transfer (phone call) "
まねく【招く】,まねく,招く,to invite
しのぐ【凌ぐ】,しのぐ,凌ぐ,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy"
さばく【裁く】,さばく,裁く,to judge
ひびく【響く】,ひびく,響く,to resound
はぶく【省く】,はぶく,省く,"to omit, to eliminate, to curtail, to economize "
そむく【背く】,そむく,背く,"to run counter to, to go against, to disobey, to infringe "
およぐ【泳ぐ】,およぐ,泳ぐ,to swim
かわく【乾く】,かわく,乾く,to get dry
かわく【渇く】,かわく,渇く,to be thirsty
さわぐ【騒ぐ】,さわぐ,騒ぐ,"to make noise, to be excited "
ひらく【開く】,ひらく,開く,to open an event
あるく【歩く】,あるく,歩く,to walk
かえす【返す】,かえす,返す,to return something
かえす【帰す】,かえす,帰す,to send back
たおす【倒す】,たおす,倒す,"to throw down, to beat, to bring down, to blow down "
とおす【通す】,とおす,通す,"to let pass, to overlook, to continue "
なおす【直す】,なおす,直す,"to fix, to repair"
なおす【治す】,なおす,治す,"to cure, to heal, to fix, to correct, to repair "
おかす【犯す】,おかす,犯す,"to commit, to perpetrate, to violate, to rape "
おかす【侵す】,おかす,侵す,"to invade, to raid, to trespass, to violate, to intrude on "
まかす【任す】,まかす,任す,"to entrust, to leave to a person "
けがす【汚す】,けがす,汚す,"to disgrace, to dishonour "
さがす【探す】,さがす,探す,to look for
さがす【捜す】,さがす,捜す,"to search, to seek, to look for "
ながす【流す】,ながす,流す,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)"
のがす【逃す】,のがす,逃す,"to let loose, to set free, to let escape "
かくす【隠す】,かくす,隠す,"to hide, to conceal"
やくす【訳す】,やくす,訳す,to translate
りゃくす【略す】,りゃくす,略す,to abbreviate
おこす【起す】,おこす,起す,to wake
のこす【残す】,のこす,残す,"to leave (behind, over), to bequeath, to save, to reserve "
よごす【汚す】,よごす,汚す,"(1) to disgrace, to dishonour,(2) to pollute, to contaminate, to soil, to make dirty, to stain "
くずす【崩す】,くずす,崩す,"to destroy, to pull down, to make change (money)"
はずす【外す】,はずす,外す,"to unfasten, to remove"
